"city","population"
"Cocal de Telha","4891"
"Cocal dos Alves","6153"
"Coivaras","4020"
"Colônia do Gurguéia","6484"
"Colônia do Piauí","7656"
"Demerval Lobão","13817"
"Elesbão Veloso","14602"
"Esperantina","39737"
"Fartura do Piauí","5307"
"Floriano","59935"
"Francinópolis","5348"
"Francisco Ayres","4348"
"Francisco Santos","9319"
"Fronteiras","11625"
"Ilha Grande","9426"
"Inhuma","15308"
"Ipiranga do Piauí","9811"
"Itaueira","11019"
"José de Freitas","39208"
"Júlio Borges","5627"
"Lagoa do Barro do Piauí","4655"
"Luís Correia","30311"
"Luzilândia","25486"
"Manoel Emídio","5349"
"Marcolândia","8492"
"Marcos Parente","4549"
"Miguel Alves","33760"
"Monsenhor Gil","10564"
"Monsenhor Hipólito","7749"
"Morro Cabeça no Tempo","4532"
"Morro do Chapéu do Piauí","6796"
"Nazária","8570"
"Oeiras","37029"
"Palmeirais","14539"
"Parnaíba","153078"
"Pedro II","38742"
"Picos","78222"
"Pimenteiras","12127"
"Pio IX","18425"
"Piracuruca","28791"
"Piripiri","63742"
"Porto","12568"
"Queimada Nova","8992"
"Redenção do Gurguéia","8778"
"Regeneração","17978"
"Ribeira do Piauí","4477"
"Rio Grande do Piauí","6432"
"Santa Luz","5860"
"São Francisco do Piauí","6423"
"São Gonçalo do Piauí","5015"
"São João do Piauí","20601"
"São José do Divino","5346"
"São José do Peixe","3745"
"São José do Piauí","6705"
"São Julião","6363"
"São Lourenço do Piauí","4573"
"São Luis do Piauí","2644"
"São Miguel da Baixa Grande","2452"
"São Pedro do Piauí","14291"
"São Raimundo Nonato","34710"
"Simplício Mendes","12711"
"Teresina","864845"
"União","44485"
"Uruçuí","21558"
"Valença do Piauí","20918"
"Várzea Grande","4391"
"Vila Nova do Piauí","2971"
"Abaiara","11737"
"Acarape","14929"
"Acaraú","62641"
"Acopiara","54270"
"Aiuaba","17399"
"Alcântaras","11714"
"Alto Santo","17146"
"Amontada","43452"
"Antonina do Norte","7353"
"Apuiarés","14600"
"Aquiraz","80271"
"Aracati","74547"
"Aracoiaba","26469"
"Ararendá","10935"
"Araripe","21600"
"Aratuba","11847"
"Arneiroz","7840"
"Assaré","23417"
"Aurora","24654"
"Banabuiú","18197"
"Barbalha","60781"
"Barreira","22425"
"Barro","22680"
"Barroquinha","15017"
"Baturité","35750"
"Beberibe","53573"
"Bela Cruz","32591"
"Boa Viagem","54470"
"Brejo Santo","49477"
"Camocim","63661"
"Campos Sales","27426"
"Canindé","76997"
"Capistrano","17738"
"Caridade","22547"
"Cariré","18448"
"Caririaçu","26965"
"Cariús","18699"
"Carnaubal","17606"
"Cascavel","71743"
"Catarina","20698"
"Catunda","10342"
"Caucaia","361400"
"Cedro","25557"
"Chaval","13069"
"Choró","13521"
"Chorozinho","20264"
"Coreaú","23136"
"Crateús","75074"
"Crato","132123"
"Croatá","18063"
"Cruz","24827"
"Deputado Irapuan Pinheiro","9625"
"Ererê","7198"
"Eusébio","53618"
"Farias Brito","19450"
"Forquilha","24218"
"Fortaleza","2669342"
"Fortim","16480"
"Frecheirinha","14072"
"General Sampaio","7618"
"Graça","14399"
"Granja","54748"
"Groaíras","11068"
"Guaiúba","26064"
"Guaraciaba do Norte","40642"
"Guaramiranga","5193"
"Hidrolândia","19978"
"Horizonte","67337"
"Ibaretama","13353"
"Ibiapina","24997"
"Ibicuitinga","12525"
"Icapuí","19934"
"Icó","68018"
"Iguatu","102498"
"Independência","26178"
"Ipaporanga","11593"
"Ipaumirim","12463"
"Ipu","41964"
"Ipueiras","38166"
"Iracema","14297"
"Irauçuba","24156"
"Itaiçaba","7827"
"Itaitinga","37980"
"Itapajé","52675"
"Itapipoca","129358"
"Itapiúna","20382"
"Itarema","41826"
"Itatira","21647"
"Jaguaretama","18162"
"Jaguaribara","11401"
"Jaguaribe","34682"
"Jaguaruana","33705"
"Jardim","27174"
"Jijoca de Jericoacoara","19816"
"Juazeiro do Norte","274207"
"Jucás","24833"
"Lavras da Mangabeira","31508"
"Limoeiro do Norte","59540"
"Madalena","19691"
"Maracanaú","227886"
"Maranguape","128978"
"Marco","27361"
"Martinópole","11233"
"Massapê","38737"
"Mauriti","47962"
"Meruoca","15057"
"Milagres","27512"
"Milhã","13155"
